1	2014.06.16	12:19:22.964	6	491	0065-0136655780
5	2014.06.16	12:19:28.877	7	323	0065-0136655780	
7	2014.06.16	12:19:29.267	8	3170	0065-0136655780	
20	2014.06.16	12:19:46.354	6	1992	0065-0136660676
21	2014.06.16	12:19:48.524	5	4978	0065-0136660676	
27	2014.06.16	12:19:56.033	5	917	0065-0136659288	
30	2014.06.16	12:19:58.109	8	599	0065-0136670531	
31	2014.06.16	12:19:58.795	7	1209	0065-0136670531	
32	2014.06.16	12:19:57.345	6	6356	0065-0136659288	
34	2014.06.16	12:20:04.071	6	1236	0065-0136659288	
35	2014.06.16	12:20:05.493	6	219	0065-0136659288	
36	2014.06.16	12:20:08.093	5	517	0065-0136661759	
37	2014.06.16	12:20:06.547	6	2146	0065-0136659288	
39	2014.06.16	12:20:08.815	6	740	0065-0136661759	
41	2014.06.16	12:20:10.092	7	414	0065-0136659288	
47	2014.06.16	12:20:15.206	7	523	0065-0136661759	
48	2014.06.16	12:20:10.553	8	5328	0065-0136659288	
49	2014.06.16	12:20:15.889	8	1807	0065-0136661759	
52	2014.06.16	12:20:20.394	5	437	0065-0136671473	
54	2014.06.16	12:20:21.902	7	319	0065-0136670531	
55	2014.06.16	12:20:20.892	6	1595	0065-0136671473	
57	2014.06.16	12:20:22.294	8	2985	0065-0136670531	
67	2014.06.16	12:20:32.230	8	506	0065-0136673193	
69	2014.06.16	12:20:33.684	5	515	0065-0136659459	
70	2014.06.16	12:20:34.247	6	2031	0065-0136659459	
71	2014.06.16	12:20:32.783	7	4736	0065-0136673193	
74	2014.06.16	12:20:38.956	5	1875	0065-0136667521	
78	2014.06.16	12:20:42.739	7	320	0065-0136671473	
79	2014.06.16	12:20:43.141	8	1105	0065-0136671473	
83	2014.06.16	12:20:48.763	5	229	0065-0136655780	
84	2014.06.16	12:20:41.004	6	8608	0065-0136667521	
85	2014.06.16	12:20:49.019	8	613	0065-0136659288	
86	2014.06.16	12:20:50.392	5	450	0065-0136651817	
87	2014.06.16	12:20:50.365	6	714	0065-0136655780	
88	2014.06.16	12:20:49.642	7	1588	0065-0136659288	
89	2014.06.16	12:20:51.117	6	1504	0065-0136651817	
91	2014.06.16	12:20:53.070	6	534	0065-0136651817	
94	2014.06.16	12:20:53.878	7	321	0065-0136655780	
95	2014.06.16	12:20:54.131	5	442	0065-0136670531	
96	2014.06.16	12:20:54.501	7	508	0065-0136673193	
98	2014.06.16	12:20:54.195	8	936	0065-0136655780	
99	2014.06.16	12:20:55.188	7	418	0065-0136651817	
100	2014.06.16	12:20:56.019	7	523	0065-0136659459	
101	2014.06.16	12:20:55.712	8	903	0065-0136651817	
102	2014.06.16	12:20:57.489	7	532	0065-0136667521	
104	2014.06.16	12:20:56.655	8	1490	0065-0136659459	
106	2014.06.16	12:20:58.156	8	2911	0065-0136667521	
107	2014.06.16	12:20:54.679	6	7211	0065-0136670531	
109	2014.06.16	12:21:02.123	6	811	0065-0136659288	
111	2014.06.16	12:21:02.949	5	1495	0065-0136659288	
115	2014.06.16	12:21:06.031	5	503	0065-0136665886	
117	2014.06.16	12:21:06.207	8	517	0065-0136651817	
118	2014.06.16	12:21:06.579	6	1006	0065-0136665886	
119	2014.06.16	12:21:07.453	5	415	0065-0136661759	
120	2014.06.16	12:21:07.969	6	1131	0065-0136661759	
122	2014.06.16	12:21:06.773	7	3167	0065-0136651817	
123	2014.06.16	12:21:13.469	7	500	0065-0136661759	
124	2014.06.16	12:21:14.044	7	313	0065-0136670531	
125	2014.06.16	12:21:13.987	8	425	0065-0136661759	
126	2014.06.16	12:21:15.307	7	806	0065-0136651817	
127	2014.06.16	12:21:14.434	8	1992	0065-0136670531	
129	2014.06.16	12:21:16.713	7	713	0065-0136651817	
131	2014.06.16	12:21:17.469	8	1985	0065-0136651817	
