45826	2014.06.19	01:01:53.674	8	508	0065-0136651817	
45827	2014.06.19	01:01:54.188	7	1986	0065-0136651817	
45828	2014.06.19	01:02:11.704	6	324	0065-0136651817	
45829	2014.06.19	01:02:12.060	5	2769	0065-0136651817	
45834	2014.06.19	01:09:44.067	5	549	0065-0136660676	
45835	2014.06.19	01:09:45.036	6	2915	0065-0136660676	
45836	2014.06.19	01:09:52.511	6	621	0065-0136660676	
45837	2014.06.19	01:09:53.140	5	1065	0065-0136660676	
45840	2014.06.19	01:12:13.476	5	1009	0065-0136653169	
45841	2014.06.19	01:12:14.561	6	5916	0065-0136653169	
45842	2014.06.19	01:12:26.092	7	612	0065-0136653169	
45843	2014.06.19	01:12:26.751	8	1728	0065-0136653169	
45852	2014.06.19	01:13:00.937	5	908	0065-0136673193	
45854	2014.06.19	01:13:02.022	6	4643	0065-0136673193	
45856	2014.06.19	01:13:15.793	6	307	0065-0136673193	
45857	2014.06.19	01:13:16.081	5	1430	0065-0136673193	
45860	2014.06.19	01:13:20.746	5	460	0065-0136651817	
45861	2014.06.19	01:13:21.208	6	1590	0065-0136651817	
45862	2014.06.19	01:13:23.733	7	422	0065-0136651817	
45863	2014.06.19	01:13:24.194	8	994	0065-0136651817	
45872	2014.06.19	01:14:25.215	8	220	0065-0136660676	
45873	2014.06.19	01:14:25.833	7	2002	0065-0136660676	
45876	2014.06.19	01:14:57.664	6	640	0065-0136660676	
45877	2014.06.19	01:14:58.437	5	648	0065-0136660676	
45878	2014.06.19	01:15:03.916	5	557	0065-0136660676	
45879	2014.06.19	01:15:04.773	6	719	0065-0136660676	
45880	2014.06.19	01:15:51.010	5	614	0065-0136659288	
45881	2014.06.19	01:15:51.739	6	6517	0065-0136659288	
45882	2014.06.19	01:15:58.656	6	1920	0065-0136659288	
45884	2014.06.19	01:16:04.591	7	436	0065-0136659288	
45886	2014.06.19	01:16:05.052	8	4559	0065-0136659288	
45889	2014.06.19	01:16:42.447	7	214	0065-0136660676	
45890	2014.06.19	01:16:42.719	8	1101	0065-0136660676	
45893	2014.06.19	01:17:18.263	8	314	0065-0136673193	
45894	2014.06.19	01:17:18.626	7	1105	0065-0136673193	
45895	2014.06.19	01:17:20.573	6	219	0065-0136673193	
45896	2014.06.19	01:17:20.866	5	1066	0065-0136673193	
45903	2014.06.19	01:18:33.981	5	432	0065-0136659459	
45904	2014.06.19	01:18:34.441	6	1060	0065-0136659459	
45905	2014.06.19	01:18:38.095	7	308	0065-0136659459	
45906	2014.06.19	01:18:38.421	8	1120	0065-0136659459	
45917	2014.06.19	01:20:36.217	8	326	0065-0136653169	
45918	2014.06.19	01:20:36.617	8	596	0065-0136660676	
45919	2014.06.19	01:20:36.509	7	839	0065-0136653169	
45920	2014.06.19	01:20:38.054	6	308	0065-0136653169	
45921	2014.06.19	01:20:38.390	5	714	0065-0136653169	
45922	2014.06.19	01:20:37.436	7	2369	0065-0136660676	
45925	2014.06.19	01:20:41.281	6	318	0065-0136660676	
45926	2014.06.19	01:20:41.761	5	882	0065-0136660676	
45931	2014.06.19	01:23:37.600	8	421	0065-0136673193	
45932	2014.06.19	01:23:38.092	7	3559	0065-0136673193	
45933	2014.06.19	01:23:49.735	6	215	0065-0136673193	
45934	2014.06.19	01:23:50.076	5	2742	0065-0136673193	
45935	2014.06.19	01:24:20.268	5	606	0065-0136673193	
45936	2014.06.19	01:24:20.923	5	217	0065-0136673193	
45937	2014.06.19	01:24:21.254	6	7402	0065-0136673193	
45938	2014.06.19	01:24:30.460	7	502	0065-0136673193	
45939	2014.06.19	01:24:31.018	8	1334	0065-0136673193	
45940	2014.06.19	01:25:07.137	8	1395	0065-0136673193	
45941	2014.06.19	01:25:08.653	7	3844	0065-0136673193	
45942	2014.06.19	01:25:25.544	7	534	0065-0136673193	
45943	2014.06.19	01:25:26.530	8	1938	0065-0136673193	
45968	2014.06.19	01:30:34.911	8	313	0065-0136660676	
45969	2014.06.19	01:30:35.367	7	1405	0065-0136660676	
45970	2014.06.19	01:30:53.228	6	630	0065-0136660676	
45971	2014.06.19	01:30:53.984	5	741	0065-0136660676	
45980	2014.06.19	01:38:32.126	8	712	0065-0136660676	
45981	2014.06.19	01:38:32.917	7	2591	0065-0136660676	
45982	2014.06.19	01:38:38.925	7	810	0065-0136660676	
45983	2014.06.19	01:38:39.713	8	726	0065-0136660676	
45984	2014.06.19	01:38:40.464	8	219	0065-0136660676	
45985	2014.06.19	01:39:18.036	8	529	0065-0136673193	
45986	2014.06.19	01:39:18.986	7	4052	0065-0136673193	
45987	2014.06.19	01:39:23.253	7	384	0065-0136673193	
45988	2014.06.19	01:39:23.717	7	1588	0065-0136673193	
45989	2014.06.19	01:39:33.191	6	321	0065-0136673193	
45990	2014.06.19	01:39:33.659	5	2006	0065-0136673193	
45995	2014.06.19	01:40:05.017	5	811	0065-0136655780	
45996	2014.06.19	01:40:05.971	6	5617	0065-0136655780	
45997	2014.06.19	01:40:18.623	7	1469	0065-0136655780	
45998	2014.06.19	01:40:20.465	8	2168	0065-0136655780	
46008	2014.06.19	01:44:09.076	5	505	0065-0136659459	
46009	2014.06.19	01:44:09.633	6	1211	0065-0136659459	
46010	2014.06.19	01:44:25.675	7	409	0065-0136659459	
46011	2014.06.19	01:44:26.168	8	1138	0065-0136659459	
46012	2014.06.19	01:44:27.350	8	402	0065-0136659459	
46025	2014.06.19	01:46:34.822	8	1095	0065-0136660676	
46026	2014.06.19	01:46:35.962	7	2340	0065-0136660676	
46028	2014.06.19	01:46:41.234	6	512	0065-0136660676	
46030	2014.06.19	01:46:41.879	5	2130	0065-0136660676	
46039	2014.06.19	01:51:48.718	8	409	0065-0136655780	
46040	2014.06.19	01:51:49.202	7	1238	0065-0136655780	
46041	2014.06.19	01:51:58.763	6	809	0065-0136655780	
46042	2014.06.19	01:51:59.661	5	1096	0065-0136655780	
46047	2014.06.19	01:54:15.284	8	405	0065-0136655780	
46049	2014.06.19	01:54:15.836	7	2154	0065-0136655780	
46051	2014.06.19	01:54:43.880	6	505	0065-0136655780	
46052	2014.06.19	01:54:44.341	5	1097	0065-0136655780	
46055	2014.06.19	01:55:04.853	5	719	0065-0136655780	
46058	2014.06.19	01:56:05.253	5	1155	0065-0136670531	
46059	2014.06.19	01:56:06.919	6	3982	0065-0136670531	
46065	2014.06.19	01:56:29.427	6	350	0065-0136670531	
